brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,price
Audi,SQ5 3.0T Premium,2019,22300,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Blue,Gray,True,38999
Ford,Expedition EL Limited,2017,104000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,19995
Ford,Bronco Sport Base,2022,13865,Gasoline,1.5L I3 12V PDI DOHC Turbo,Shadow Black,Ebony,True,29182
BMW,M4 Competition xDrive,2022,15882,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Red,Silver,True,84995
Land,Rover Defender,2022,12209,Gasoline,5.0L V8 32V GDI DOHC Supercharged,Black,Black,True,104900
Mercedes-Benz,AMG GLC 43,2021,10483,Gasoline,3.0 Liter Twin Turbo,Graphite Grey Metallic,Black w/Red Stitching,True,60998
Nissan,GT-R Premium,2017,31150,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Orange,Black,True,113000
Chrysler,200 C,2015,44000,E85 Flex Fuel,295.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,White,Black,True,12700
Hummer,H2 Base,2003,109000,Gasoline,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Beige,Beige,True,17500
BMW,M4 Base,2020,31350,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gray,Orange,True,62450
Audi,Q8 55 Premium,2021,30000,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Black,Black,True,62000
Land,Rover Range Rover,2012,66500,Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Silver,Black,True,19950
Nissan,Frontier SV,2012,96600,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Beige,Black,True,17000
Toyota,Highlander LE Plus,2015,198000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Gray,True,14000
Audi,S4 3.0T Premium,2013,91877,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Red,True,24000
Ford,Expedition Max Limited,2018,45578,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,–,True,45023
BMW,228 i,2015,54000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Red,True,19996
Land,Rover Range Rover,2020,52000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,Black,True,55000
Mercedes-Benz,E-Class AMG E,2020,23044,Hybrid,3.0 Liter Turbo,Emerald Green Metallic,Black/Saddle Brown,True,72598
Porsche,911 Carrera,2008,132500,Gasoline,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Black,Black,True,35000
Dodge,Dakota SLT Quad,2006,256000,Gasoline,4.7L 8 Cylinder Engine Gasoline Fuel,Black,Gray,True,4000
Mercedes-Benz,SL-Class SL63 AMG,2009,31370,Gasoline,518.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,White,Brown,True,65700
Chrysler,Sebring LX,2008,67303,Gasoline,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Blue,Blue,True,4900
Chevrolet,Corvette Stingray w/3LT,2021,12000,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Blue,Black,True,99900
Ford,Bronco Outer Banks,2023,16500,Gasoline,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Blue,Gray,True,54000
Toyota,Tacoma TRD Pro,2018,28800,Gasoline,"3.5L V-6 port/direct injection, DOHC, VVT-iE variable valve cont",–,Black,True,42900
RAM,ProMaster 2500 High,2019,88000,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,Black,True,39900
Ford,Shelby GT350 Base,2018,18515,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,White,Black,True,60867
Land,Rover Range Rover,2023,2100,Gasoline,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gray,Beige,True,172000
Volvo,XC60 T6 Inscription,2019,58600,Gasoline,330.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,White,True,29000
Lexus,LS 460 Crafted,2015,74500,Gasoline,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,White,Red,True,33900
Cadillac,XT6 Premium Luxury,2023,222,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,Black,True,69000
Chevrolet,Avalanche 1500 LTZ,2007,75124,E85 Flex Fuel,310.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Red,Gray,True,16499
Chevrolet,Corvette Grand Sport,2013,15500,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,Blue,True,45000
Audi,Q8 55 Premium,2020,34300,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,Brown,True,52500
Honda,Odyssey Elite,2019,82000,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,32471
Acura,TLX,2023,3389,Gasoline,2.0 Liter DOHC Turbo,Platinum White Pearl,Black,True,38598
Porsche,Cayenne GTS Coupe,2023,10000,Gasoline,453.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,145000
Cadillac,STS V6,2005,96000,Gasoline,260.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Beige,Brown,True,4999
Dodge,Charger R/T,2021,7751,Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,41950
Audi,RS 7 4.0T,2017,66250,Gasoline,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Gray,True,59200
Lexus,CT 200h Premium,2012,109000,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,White,Black,True,14945
Hyundai,Genesis Coupe 3.8,2015,60000,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,17000
Mercedes-Benz,E-Class E 350,2022,9006,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,56999
Toyota,GR86 Base,2022,13400,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,33499
Porsche,Macan S,2020,28570,Gasoline,3.0 Liter Turbo,White,Black,True,55998
Dodge,Durango SRT,2018,78000,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,White,Black,True,44700
Lexus,LX 570 Base,2013,134000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,29995
Kia,Optima Hybrid EX,2013,104994,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Black,Beige,True,9000
Bentley,Continental GT V8,2016,31500,Gasoline,521.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,103900
Alfa,Romeo Giulia Base,2020,30000,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,–,True,28900
Lexus,LX 600 F,2023,490,Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,124999
Toyota,Sequoia Limited,2017,67000,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,Silver,Gray,True,37999
Kia,K5 EX,2021,8263,Gasoline,180.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Gray,White,True,29000
RAM,1500 Big Horn,2021,35003,Gasoline,5.7L V8 16V MPFI OHV,Bright White Clearcoat,Diesel Gray / Black,True,40999
Chevrolet,Corvette Base,2008,80000,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Red,Beige,True,31000
Chevrolet,Corvette Stingray w/1LT,2022,6200,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Brown,Black,True,99999
Jaguar,F-TYPE S,2014,74595,Gasoline,495.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Green,Black,True,32450
Audi,A7 3.0T Prestige,2013,87066,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,20999
Audi,Q8 3.0T Prestige,2019,38360,Gasoline,3.0L V6 24V GDI DOHC Turbo,Orca Black Metallic,Black,True,49936
Kia,Telluride SX,2020,38000,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Green,Beige,True,41999
Toyota,Camry Hybrid XLE,2018,69641,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,White,Black,True,23995
Toyota,GR86 Premium,2022,1275,Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Blue,Black,True,47999
BMW,M3 Base,2001,60000,Gasoline,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Black,Gray,True,25000
Jeep,Wrangler Rubicon,2014,99450,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,21000
Toyota,Tundra Hybrid Capstone,2023,200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,Blue,White,True,82500
Porsche,Panamera 4 Edition,2016,68000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,32950
Lexus,GS 350 Base,2010,212000,Gasoline,303.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,9450
GMC,Sierra 3500 Denali,2019,73091,Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,White,Black,True,58500
Kia,Niro Plug-In Hybrid,2023,9400,Plug-In Hybrid,180.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,Black,Black,True,31500
Porsche,Cayenne Base,2014,117697,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,16975
Mercedes-Benz,S-Class S 65,2015,95428,Gasoline,621.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Silver,Silver,True,55000
Lexus,GX 460 Premium,2017,116300,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gray,Beige,True,31950
Acura,MDX Sport Hybrid,2019,56778,Hybrid,321.0HP 3.0L V6 Cylinder Engine Gas/Electric Hybrid,Black,Black,True,41899
Audi,Q5 S line,2023,5682,Hybrid,2.0 Liter TFSI,Chronos Gray,Gray,True,48698
BMW,530 i,2017,37000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,31000
Kia,Forte Koup EX,2015,103748,Gasoline,173.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Gray,True,8500
Toyota,Sequoia Limited,2005,86000,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Silver,–,True,22500
Land,Rover LR4 HSE,2013,125900,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,21000
Nissan,Titan SV,2023,6200,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Black,Gray,True,48000
Ford,F-250 Lariat,2019,85000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Black,Black,True,52500
Mercedes-Benz,AMG GT AMG,2017,19324,Gasoline,456.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Beige,True,75000
Cadillac,Escalade Platinum,2018,49273,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Red,Black,True,54000
BMW,M3 Base,2017,44000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Blue,Black,True,55000
Chevrolet,Cruze LT,2012,148377,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Blue,Black,False,5500
Dodge,Challenger SRT8,2010,70000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Orange,Black,True,22000
Mercedes-Benz,Sprinter 2500,2016,143290,Diesel,161.0HP 2.1L 4 Cylinder Engine Diesel Fuel,White,Black,True,33490
Ford,F-350 Platinum,2019,69205,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,White,Black,True,73500
Chevrolet,Tahoe LTZ,2015,123500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,White,Brown,True,25650
Audi,Q7 3.0T Prestige,2018,70773,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,White,Black,True,30950
Jeep,Patriot Latitude,2015,109000,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Gray,True,7599
INFINITI,QX70 Base,2014,71097,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,18995
BMW,X5 xDrive35i,2013,76309,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Silver,Black,False,12000
Land,Rover Range Rover,2023,4126,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Black,Beige,False,155000
Cadillac,ATS 2.5L,2014,80400,Gasoline,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,15000
Toyota,RAV4 Base,2010,123620,Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,9900
Acura,TSX Technology,2011,187883,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Red,Beige,True,5500
Mercedes-Benz,G-Class G 550,2020,45000,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,133000
Honda,Civic Sport,2022,25420,Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Red,Gray,True,24500
BMW,M3 Base,2011,129999,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,White,Black,True,29999
BMW,M3 Base,2008,41048,Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Beige,True,38490
Nissan,Cube 1.8 S,2010,72500,Gasoline,122.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Brown,Black,True,6750
RAM,ProMaster 3500 Tradesman,2014,143390,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,–,True,13000
Acura,RDX Base,2018,68425,Gasoline,279.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,–,True,23500
Toyota,4Runner Limited,2018,95000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Silver,Brown,True,33000
RAM,1500 Limited,2019,29000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,49500
Chevrolet,Corvette Base,2003,145000,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Blue,Black,True,22000
Land,Rover Defender 110,2020,29700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Green,Black,False,68000
Jeep,Grand Cherokee Laredo,2011,98658,Gasoline,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,White,Gray,True,14995
Volvo,S80 T6,2009,97615,Gasoline,281.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Gray,True,10500
Porsche,Cayenne S,2014,36000,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,37000
Mazda,CX-30 Select,2021,61874,Gasoline,2.5L I4 16V GDI DOHC,Jet Black Mica,Black,True,22389
Chrysler,Town & Country,2012,74582,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,Black,–,True,8500
INFINITI,FX37 Base,2013,51500,Gasoline,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,23900
Toyota,FJ Cruiser Base,2007,193827,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,14950
Chevrolet,Silverado 1500 LT,2019,53433,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Blue,Gray,True,36950
Mercedes-Benz,C-Class C 63,2012,103000,Gasoline,451.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,Silver,Black,True,40000
BMW,428 Gran Coupe,2016,59000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Brown,True,20999
Lexus,GX 460 Premium,2017,82000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gray,Brown,True,32900
Porsche,Panamera Edition,2016,60000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,45000
Cadillac,Escalade ESV Platinum,2017,93971,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,47000
Lexus,IS 350 Base,2015,62600,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,Red,True,27500
Mercedes-Benz,E-Class E 350,2014,84450,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,Beige,True,19000
Audi,Q5 S line,2022,18099,Hybrid,2.0 Liter TFSI,Daytona Gray,Gray,True,40798
Mercedes-Benz,E-Class E 350,2014,76500,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,17999
Chevrolet,Camaro 1LT,2017,74000,Gasoline,275.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Yellow,Black,True,19800
RAM,1500 Laramie,2022,15607,Gasoline,5.7L V8 16V MPFI OHV,Billet Silver Metallic Clearcoat,Black,True,45999
Chevrolet,Silverado 1500 1LZ,2014,111095,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,White,Black,True,26000
Toyota,Camry Solara SLE,2007,37216,Gasoline,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Red,Beige,True,14995
Jaguar,F-TYPE S,2015,25786,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Blue,Gray,True,38500
Jeep,Gladiator Sport,2021,15520,Gasoline,3.6L V6 24V MPFI DOHC,Sting Gray Clearcoat,Black,True,40459
RAM,1500 Big Horn,2021,49583,Gasoline,5.7L V8 16V MPFI OHV,Billet Silver Metallic Clearcoat,Black,True,42816
Porsche,Cayenne Diesel,2015,97300,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Black,Black,True,29995
Chevrolet,Camaro Base,2002,89000,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,10400
Porsche,Cayenne S,2015,52111,Gasoline,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,37500
Dodge,Challenger R/T Scat,2019,75800,Gasoline,6.4 Liter,Gray,Black,True,35998
Lexus,ES 350 Base,2010,113500,Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Red,Beige,True,11000
Audi,Q3 2.0T Premium,2015,155382,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Brown,Gray,True,13500
Mercedes-Benz,E-Class E 550,2016,49643,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,White,Black,True,33995
BMW,650 i xDrive,2015,76474,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,White,Black,True,32000
Porsche,Cayman Base,2016,10431,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Red,Black,True,50999
INFINITI,FX50 Base,2009,190120,Gasoline,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,12500
Ford,F-150 XLT,2020,92000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,29999
Chevrolet,Camaro 2LT,2017,24000,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Yellow,Black,True,32000
RAM,1500 Big Horn,2020,25396,Gasoline,5.7L V8 16V MPFI OHV,Maximum Steel Metallic,Black,True,43250
Chevrolet,Silverado 2500 H/D,2001,167000,Gasoline,300.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,White,Gray,True,6500
RAM,1500 Laramie,2022,18645,Gasoline,5.7L V8 16V MPFI OHV,Diamond Black,Black,True,49700
Porsche,911 Turbo,2018,28470,Gasoline,540.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,White,Black,True,147500
Ford,Mustang V6,2016,54000,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,White,Black,True,23999
Hyundai,Accent GL,2003,83000,Gasoline,104.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Blue,Gray,True,2900
Audi,Q5 S line,2022,10071,Hybrid,2.0 Liter TFSI,Mythos Black Metallic,Black,True,40598
Ford,F-150 XLT,2021,43329,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Carbonized Gray Metallic,Black,True,43642
Lexus,RC F Base,2015,51400,Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Silver,Gray,True,43000
Chevrolet,Suburban 1500 LT,2015,153800,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Silver,Black,True,23000
Land,Rover Range Rover,2022,9000,Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Green,Gray,True,115000
Dodge,Viper SRT-10,2003,10800,Gasoline,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,Silver,Black,True,65499
RAM,1500 Laramie,2020,10458,Gasoline,5.7L V8 16V MPFI OHV,Delmonico Red Pearlcoat,Black,True,48815
BMW,328 i,2014,84709,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Gray,True,13800
Mercedes-Benz,AMG C 43,2019,33500,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Red,Black,True,45770
BMW,M4 Base,2015,98000,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Orange,True,32999
BMW,750 i,2008,94653,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Green,Green,True,7300
Ford,Expedition Limited,2023,9281,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,85000
Chevrolet,Traverse Premier,2023,11806,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,Black,True,47000
Cadillac,Escalade Platinum,2020,48613,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,61500
RAM,3500 Tradesman,2023,2990,Diesel,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,White,Black,True,69900
Audi,TT 1.8L,2005,124747,Gasoline,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,6900
RAM,1500 Big Horn,2021,24000,Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,Silver,Black,True,42000
Mazda,CX-7 Sport,2009,113000,Gasoline,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,5499
INFINITI,QX60 Base,2017,89106,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,True,18000
Ford,F-250 Platinum,2017,22000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Beige,Black,True,53000
Jeep,Compass Limited,2022,20472,Gasoline,2.4L I4 16V MPFI SOHC,Red,Black,True,28298
INFINITI,QX80 SENSORY,2023,8600,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Black,Brown,False,78990
Chevrolet,Silverado 1500 Limited,2022,4753,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,White,Black,True,57000
Hyundai,Genesis Coupe 2.0T,2010,65000,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,False,8900
Chevrolet,Camaro 1SS,2021,15000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Blue,Gray,True,43500
Chevrolet,Tahoe Base,1997,229000,Diesel,180.0HP 6.5L 8 Cylinder Engine Diesel Fuel,Green,Beige,True,19500
Audi,A6 3.0 TDI,2014,42400,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Silver,Black,True,26500
Land,Rover Defender S,2023,15840,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,True,69900
Porsche,Cayenne S,2016,76200,Gasoline,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Beige,True,42000
Chevrolet,Suburban Premier,2019,105667,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,39000
Chevrolet,Suburban Premier,2019,51338,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,White,Black,True,49900
Dodge,Dart SE,2016,76857,Gasoline,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,8100
Ford,F-250 Lariat,2019,80200,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,White,Black,True,42500
Toyota,Sequoia SR5,2002,244200,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,White,–,True,3950
Ford,Mustang GT,2014,38560,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,28500
Chevrolet,Corvette Stingray w/2LT,2020,12500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Yellow,Black,True,84999
Hyundai,Genesis Coupe 3.8,2016,45303,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,White,Black,True,20999
Ford,Focus ST Base,2014,110000,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Gray,True,9495
Cadillac,CTS Luxury,2011,66200,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,16499
Subaru,Baja Base,2003,71000,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Red,Black,True,14900
Toyota,Highlander XLE,2019,81301,Gasoline,3.5L V6 24V PDI DOHC,Black,Black,True,30275
Chevrolet,Corvette Stingray Z51,2019,7033,Gasoline,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,Black,True,63900
Dodge,Durango SRT,2020,36000,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Gray,Red,True,62000
Acura,TSX 2.4,2010,116000,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,9000
Chevrolet,Camaro 2SS,2018,42780,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,41100
BMW,640 Gran Coupe,2014,39886,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Red,True,26000
Audi,S5 3.0T Premium,2014,151400,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,15400
Alfa,Romeo Giulia Base,2017,48000,Gasoline,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Red,Black,True,20500
Toyota,Highlander XLE,2023,8727,Gasoline,2.4L I4 16V PDI DOHC Turbo,Ruby Flare Pearl,Black,True,44596
Rolls-Royce,Ghost Base,2011,79000,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Black,White,True,80300
Dodge,Challenger R/T,2020,54000,Gasoline,372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,34000
Porsche,Cayenne Base,2016,110000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,White,True,25900
Mercedes-Benz,Metris Base,2020,14000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Beige,True,48000
